Fri Nov 03 2023 12:25:04 GMT+0000 (Coordinated Universal Time) - Run Time: 3400ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 3, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        8830        5101          7
        8830        8824         12
        8831        8813         31
        8832        1411         19
        8834        8813         37
        8839        8806         13
        8842        1441          5
        8851        8821         13
        8871        8806         18
        8887        8813         12
        8887        8824         11
        8887        8886         23
        8890        3001         16
        8891        8896         17
        8895        8806         14
        8899        1363         13
        9105        9138         10
        9120        2091         13
        9143        9141          9
       17476        1608         59

TABLE    : start_time (505)

   ggh4_orig   ggh4_dest      total
        1350        4109          4
        1539        6199         10
        1565        1199          7
        2010        1138         15
        3177        4378         71
        3332        8352          3
        4235        4381          4
        4244        4253         37
        5143        1020         19
        6019        6017         15
        6235        1503         28
        8156        8285         10
        8360        8374         24
        8536        8569         21
        8596        4304         12
        8596        8591         28
        8596        8596         20
        8867        3088         14
        8912        1461         18

TABLE    : start_time (510)

   ggh4_orig   ggh4_dest      total
        1205        1345         37
        1254        1300         14
        1376        1017        127
        2149        2003         76
        2196        2007         32
        2302        3346         19
        3372        1240         54
        3470        1416          9
        4029        1629         34
        4095        4047         14
        4114        4292         12
        4177        4118         19
        4235        4385         29
        5124        3039         30
        5129        4001         14
        6185        1224         65
        8705        8702         27
        8863        3296          6
        8872        8815         43
        8885        4127         28
        8895        8889          6

TABLE    : start_time (515)

   ggh4_orig   ggh4_dest      total
        1012        1061         12
        1015        4158          9
        1112        4093          5
        1323        1524          9
        1406        1496         17
        1408        1110         34
        1441        4055         14
        1520        3035          6
        1620        3014          5
        2013        2203         52
        2013        4378         27
        2020        1166         18
        2041        1145          7
        2055        1115          3
        2055        8833         15
        2085        1629          5
        2141        1188         11
        2175        2281         45
        2189        2091         10
        2192        1267         42
        2196        2079         36
        2204        2114         33
        3179        1105         18
        3285        3186         22
        3487        3351         10
        4043        5060         16
        4073        4038         13
        4080        1347         10
        4089        4089         36
        4091        4130         51
        4117        4238         11
        4148        4154         46
        4173        4077         17
        4260        4384          7
        4285        3010         24
        4287        4109          7
        5059        5115         17
        5096        4045         16
        6032        6199         50
        6105        6208         25
        6159        6036        151
        7047        6199         28
        7091        4276         93
        8116        8145         23
        8156        4144          9
        8210        8286         51
        8262        8274         28
        8318        8522         26
        8326        8352         16
        8408        8359         24
        8522        1303         14
        8565        8528          5
        8586        5161         15
        8594       17577         19
        8602        8594         23
        8703        4156         18
        8806        1115          8
        8806        8805          7
        8815        3064         15
        8832        4313         17
        8887       16969         76
        8890        4262         16
        8918        8875         14
        9026        2027         55
        9148        9116         37

TABLE    : start_time (520)

   ggh4_orig   ggh4_dest      total
        1030        1029         18
        1031        1204         19
        1055        3073         23
        1264        1503         16
        1304        3014         14
        1431        1141          7
        1471        1540         14
        1525        1033         25
