Fri Nov 03 2023 17:59:04 GMT+0000 (Coordinated Universal Time) - Run Time: 2900ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: GGHM V4 zone of origin - ggh4_orig
Column: GGHM V4 zone of destination - ggh4_dest
Table: Start time of trip - start_time


Filters:
Day of week trip data were collected - trip_day In 4, 
and
Trip purpose of destination - purp_dest In W, 
and
Primary travel mode of trip - mode_prime In D, 

Trip 2016
ROW : ggh4_orig
COLUMN : ggh4_dest

TABLE    : start_time (400)

   ggh4_orig   ggh4_dest      total
        7004        7031         44
        7016        7014         21
        7162        7140         13
        8230        5144         15
        8288        4225         16
        8301        8289         20
        8309        8285         17
        8363        8369         17
        8387       16454         20
        8701        8367         16
        8709        4379         17
        8820        1138         21
        8820        1440         14
        8885        8885         42

TABLE    : start_time (510)

   ggh4_orig   ggh4_dest      total
        1238        4100         26
        1260        4109         26
        1344        1218         36
        1354        1416         11
        1370        1219          5
        1423        1198         16
        1443        3210         23
        1525        1117         21
        1556        1084         14
        1605        1580         26
        2008        1221         17
        2010        2003         34
        2186        2003         23
        2235        3260         34
        2251        2278         10
        2278        2030          9
        2292        3320          9
        3055        1515         26
        3145        3083         21
        3249        3047         16
        3372        1357         27
        3382        1129         24
        4044        5137         10
        4191        4014          9
        4246        1622          7
        4283        4363         18
        4300        1111          7
        4302        4107         38
        4367        1077         34
        5044        4182         17
        5132        4062         15
        5132        4170         15
        5193        4292         32
        6085        4147         48
        6162        5048         44
        7083        7103         10
        7094        7019          5
        7094        7105         24
        7162        7068         21
        8126        6199         43
        8281        8285         38
        8382        8262         12
        8806        4250         17
        8807        8814         18
        8813        4304        107
        8815        8813          9
        8820        3446         24
        8826        3151         76
        8832        1515         43
        8835        3172          9
        8842        8833          6
        8872        8835          9
        9117        4131          5

TABLE    : start_time (515)

   ggh4_orig   ggh4_dest      total
        1002        4379          6
        1012        1511         26
        1052        1157         13
        1056        1424         15
        1063        3090         18
        1081        5121         50
        1109        4048         10
        1216        4345         19
        1309        1321         20
        1335        1411         10
        1353        1347          4
        1390        4189         10
        1443        3404         43
        1448        3035         39
