Thu Oct 12 2023 15:34:20 GMT+0000 (Coordinated Universal Time) - Run Time: 3051ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
No Filters

Persons 2016 
Table: 

,$0 to $14999,$15000 to $39999,$40000 to $59999,$60000 to $99999,$100000 to $124999,$125000 and above,Decline / don't know
1093,23,163,153,857,1362,1226,762
1094,15,170,0,605,64,0,422
1095,226,1270,1253,832,982,1126,1042
1096,15,321,501,1767,756,1360,649
1097,55,228,1617,2139,2345,2757,1657
1098,0,0,0,55,0,351,0
1099,0,12,36,0,0,158,44
1100,0,27,9,112,0,478,166
1101,29,0,0,9,0,0,30
1102,0,48,22,0,12,66,34
1103,0,9,0,12,0,12,50
1104,0,0,0,76,0,40,0
1105,0,0,88,43,0,0,7
1106,0,418,917,1273,2326,5378,1555
1107,0,233,156,746,1442,3552,660
1108,0,0,0,137,0,0,0
1109,0,0,27,83,15,147,15
1110,3,241,288,127,158,463,827
1111,0,0,38,12,0,53,84
1113,0,0,0,0,0,26,89
1114,0,12,0,0,0,0,96
1115,0,38,15,12,0,0,15
1116,0,36,12,120,164,103,135
1117,0,253,424,1238,1331,1903,642
1118,0,0,76,66,255,704,204
1121,144,195,642,1325,1449,4089,1428
1122,8,463,813,511,384,1543,913
1123,21,760,893,1756,984,1442,1643
1124,18,178,652,1300,865,3095,2133
1125,123,999,1072,1934,2277,3075,2340
1128,17,27,351,506,464,897,138
1129,0,16,176,599,853,1990,670
1130,0,56,418,470,599,733,285
1131,15,127,134,131,169,333,353
1132,0,259,174,1012,212,898,901
1133,193,442,408,188,219,105,291
1134,20,192,270,418,928,2010,668
1135,9,379,229,715,664,306,1226
1136,14,73,374,616,226,1231,537
1137,0,120,291,409,117,401,138
1138,0,28,0,315,31,0,0
1140,551,840,698,606,991,447,609
1141,170,172,141,275,0,326,191
1142,49,57,419,419,240,101,257
1143,0,340,176,264,234,241,91
1144,0,15,15,268,100,1328,449
1145,472,218,182,892,481,307,413
1147,0,396,859,1056,497,1228,567
1150,0,0,0,0,0,0,119
1151,13,0,0,0,0,0,0
1152,0,28,0,0,0,0,0
1153,27,286,267,1137,1643,1729,638
1154,0,0,4,0,0,0,0
1155,0,0,0,302,0,0,0
1156,0,8,27,6,195,72,26
1157,0,35,0,39,107,50,66
1159,0,0,0,27,0,23,0
1160,8,0,307,15,0,12,0
1161,0,0,74,18,0,49,0
1162,0,0,0,23,0,0,12
1163,0,0,47,0,0,0,25
1164,0,0,86,0,12,0,12
1165,0,0,15,0,0,0,0
1167,0,0,0,8,0,36,0
1170,0,18,11,139,13,20,61
1171,0,8,41,55,0,0,0
1172,0,0,0,19,0,0,0
1173,9,355,649,880,377,1979,659
1174,0,0,0,0,98,0,0
1175,0,0,0,44,0,0,0
1176,0,7,0,15,0,0,39
1178,0,9,100,99,0,88,85
1179,70,398,257,232,217,637,541
1180,38,596,222,971,169,405,1417
1181,126,1498,1032,1861,1638,2753,1526
1182,128,113,212,1843,1088,3520,1014
1183,0,13,190,717,296,410,700
1185,0,242,312,431,464,460,438
1186,16,403,638,734,722,620,500
1187,568,2090,1199,669,335,718,1442
1188,266,1627,1566,3114,768,1575,2060
1189,0,565,541,2369,1379,2320,1189
1190,84,370,918,1570,773,1499,584
1191,0,182,96,157,212,581,115
1192,0,299,235,295,159,502,376
1193,287,794,377,938,159,117,263
1194,0,314,73,289,100,205,173
1195,29,161,130,224,0,0,145
1196,137,294,38,24,36,185,282
1197,31,421,1066,463,424,949,883
1198,279,479,128,55,193,0,320
1199,146,216,108,223,34,0,146
1200,358,1169,1016,897,674,873,1527
1201,100,651,866,880,324,494,1124
1202,97,552,380,1120,1033,1419,827
1203,0,120,179,776,8,223,488
1204,304,590,230,773,473,40,847
1205,0,15,25,0,0,0,9
1206,25,108,525,167,86,0,0
1207,267,1429,999,828,56,27,524
1208,61,367,58,120,44,0,125
1209,97,216,425,767,224,152,363
1210,417,625,770,1689,124,876,987
1211,53,485,396,1434,573,806,883
