Thu Oct 12 2023 15:34:20 GMT+0000 (Coordinated Universal Time) - Run Time: 3051ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
No Filters

Persons 2016 
Table: 

,$0 to $14999,$15000 to $39999,$40000 to $59999,$60000 to $99999,$100000 to $124999,$125000 and above,Decline / don't know
3837,0,173,89,448,0,47,27
3838,213,584,533,604,171,284,188
3840,112,372,398,346,142,238,498
3841,425,412,1116,1422,414,545,1213
3842,287,408,566,1104,379,274,585
3843,0,0,0,16,0,0,0
3847,0,19,53,12,24,121,219
3852,142,584,184,900,226,486,476
3853,496,160,123,78,0,77,18
3854,5,428,468,555,58,129,133
3855,134,105,50,651,158,84,672
3856,36,164,460,458,69,22,114
3857,0,117,736,36,235,46,227
3858,0,0,50,47,95,56,66
3859,193,0,70,37,0,0,166
3861,11,674,730,367,241,0,272
3862,162,743,97,447,203,137,68
3863,1034,2049,1763,2905,2050,221,1703
3864,673,1166,1841,1927,840,392,717
3865,157,118,463,912,299,109,246
3866,317,1280,568,608,219,163,943
3867,654,2531,947,1534,125,60,912
3868,143,934,613,191,154,359,315
3870,100,1204,938,720,0,21,538
3872,105,136,310,333,74,118,249
3875,0,32,0,0,0,0,293
3876,0,0,38,33,0,0,44
3877,387,578,314,1115,215,980,1300
3878,0,166,100,385,39,23,191
3879,35,180,643,606,183,357,589
4001,95,704,628,1178,929,4570,1265
4002,0,37,0,0,26,0,0
4004,26,97,270,534,250,1253,736
4005,227,536,779,1087,571,1967,1827
4006,24,63,0,76,115,1557,372
4007,14,245,777,1317,683,1164,1243
4010,135,258,180,226,175,417,380
4011,204,480,176,613,818,2300,931
4012,348,694,1266,1555,459,471,272
4013,54,38,277,9,332,304,303
4014,0,144,48,189,200,83,221
4015,0,52,121,70,38,603,188
4016,17,113,247,295,77,229,329
4017,0,0,0,250,28,1651,243
4018,86,0,40,732,129,2160,684
4019,14,14,0,0,0,25,0
4020,41,131,77,1034,459,2895,1795
4021,0,33,0,61,81,0,28
4023,20,540,286,1422,678,3028,1471
4024,0,0,0,0,0,115,17
4025,0,194,164,865,409,2401,1496
4026,0,250,188,703,901,621,556
4027,0,0,0,372,0,77,160
4028,0,0,101,222,339,566,305
4029,293,415,470,1213,323,1174,1358
4030,51,458,186,452,429,1355,475
4031,0,472,396,1118,454,1541,694
4032,163,201,132,423,29,1080,489
4033,125,648,402,708,716,4369,1816
4034,86,21,39,270,393,747,1634
4035,70,268,356,1046,246,646,588
4036,245,646,140,800,376,952,1109
4037,28,192,402,1352,969,4104,2116
4038,0,248,232,932,366,1773,1023
4039,95,944,1150,1243,1549,4270,1885
4040,39,384,301,1158,695,1213,922
4041,37,174,576,1447,291,3751,2076
4042,44,464,212,778,454,3017,2005
4043,0,0,0,0,0,0,15
4045,39,300,854,792,1062,3681,2065
4047,0,0,0,0,0,5,0
4048,0,0,79,0,0,0,0
4049,0,0,42,0,0,0,0
4050,0,104,152,63,256,367,96
4051,109,485,518,962,241,718,738
4052,37,117,251,154,190,241,373
4053,30,167,306,210,109,55,85
4054,79,266,176,345,657,1052,379
4055,166,488,1142,1232,847,889,801
4056,0,33,16,31,14,0,48
4057,484,703,1102,1683,1338,1541,1190
4058,0,282,169,269,160,112,147
4059,82,283,880,793,619,1440,521
4060,54,1012,1137,1030,836,885,940
4061,306,424,163,792,250,721,548
4062,64,235,338,1241,156,1042,561
4063,0,176,0,0,0,0,31
4064,68,887,725,1301,271,693,1059
4065,78,168,53,253,47,1105,405
4066,0,276,61,202,159,855,270
4067,0,76,197,541,542,835,416
4068,0,0,19,219,93,0,0
4069,0,56,0,573,527,288,104
4070,0,170,484,362,15,891,764
4071,20,253,264,395,939,688,364
4072,0,0,14,154,337,1673,345
4073,0,64,148,297,232,1067,284
4074,51,370,693,831,346,1333,1171
4075,46,345,287,718,685,1236,849
4076,105,514,192,1740,1758,2201,1926
4077,0,19,68,85,30,24,77
4078,30,240,551,738,305,530,1645
4079,28,69,1180,2826,2358,4927,2201
4080,16,610,567,1348,771,3606,2059
4083,178,533,399,2337,1523,1145,1174
4084,308,471,906,2269,1762,5498,2135
4085,0,280,194,1501,557,978,619
4086,0,362,133,613,37,163,189
4087,0,269,641,1174,30,323,245
4088,15,283,466,736,693,1509,767
4089,117,683,1455,2242,1552,3047,1910
4090,0,63,188,478,159,574,773
4091,0,265,199,158,115,240,238
4092,0,38,30,206,136,392,340
4093,0,9,67,117,0,132,110
4094,0,0,0,0,40,74,30
4096,0,5,24,0,0,108,79
4097,30,93,42,414,0,156,262
4098,0,29,30,92,108,687,55
4099,0,325,19,32,10,129,0
4100,0,0,37,0,0,296,102
4103,180,584,801,2227,1006,2381,324
4104,0,0,419,35,42,155,0
4105,255,767,1635,3419,2195,2045,2600
4106,0,0,18,0,0,0,0
4108,297,280,566,2071,1258,2203,579
4110,116,773,1866,3945,2859,5161,1868
4111,0,0,0,30,0,0,29
4112,0,0,0,0,0,0,82
4113,0,0,0,19,142,0,0
4114,0,0,0,89,40,0,22
4118,0,36,272,282,165,383,163
4119,238,496,838,3775,1016,2226,1031
4120,49,761,990,3739,2577,3528,1500
4121,0,19,0,15,37,120,63
4122,0,0,0,37,0,0,0
4123,0,336,925,935,773,1236,698
4124,161,388,354,889,523,929,1062
4125,11,744,663,925,1370,1205,856
4126,10,357,329,868,232,815,382
4127,27,713,859,3027,2013,3938,2025
4128,0,0,0,16,0,0,0
4129,0,0,0,0,0,0,189
4130,0,0,0,0,16,0,38
4131,0,0,0,19,0,0,67
4132,0,0,44,144,0,116,40
4133,0,0,24,40,19,124,0
4134,48,19,19,191,244,55,0
4135,0,0,16,0,208,438,403
4136,0,0,24,130,33,296,0
4137,0,0,45,28,0,925,84
4138,0,0,46,50,0,425,43
4139,0,0,53,135,64,122,362
4140,0,37,170,156,16,393,58
4141,0,24,40,21,34,29,18
4142,0,0,29,24,0,60,0
4143,0,28,225,145,46,254,60
4144,0,19,0,0,147,0,0
4148,0,0,0,58,0,0,0
4149,0,15,25,50,0,642,124
4153,0,0,35,0,0,0,24
4154,24,33,74,141,25,119,790
4155,0,436,0,602,0,169,76
4156,0,0,0,0,0,12,6
4157,0,0,63,8,41,410,57
4158,0,115,325,474,1143,1489,1227
4159,28,397,207,764,517,670,545
4160,0,412,578,1640,985,4299,2300
4161,0,0,0,27,267,199,26
4162,38,333,343,689,725,1292,545
4163,73,280,361,1357,229,1741,852
4164,8,475,452,642,595,1489,551
4165,0,0,0,204,242,19,0
4166,50,160,309,702,527,2000,757
4167,0,23,30,96,200,460,12
4168,8,15,33,118,20,114,0
4169,0,12,40,94,27,135,50
4170,0,23,98,68,347,147,209
4171,5,17,35,0,0,12,0
4172,0,14,52,23,12,599,128
4173,0,29,28,51,152,224,469
4174,11,8,51,251,55,585,80
4175,0,239,60,407,487,330,404
4176,0,29,468,588,258,975,161
4177,0,112,113,138,343,231,171
4178,44,58,45,274,375,741,355
4179,0,9,0,24,20,251,16
4183,101,217,1068,435,1023,4406,1450
4184,0,0,51,68,0,0,0
4186,145,1340,1341,3258,2378,6049,3146
4188,0,0,0,79,0,0,0
4189,100,445,1252,1732,1515,4444,2233
4190,56,188,475,1429,261,1070,494
4191,0,10,10,51,48,1197,133
4193,0,95,38,127,0,0,83
4195,0,19,42,399,116,1434,517
4196,57,67,836,612,209,149,1120
4197,0,142,29,55,0,75,109
5001,0,27,0,174,197,0,275
5002,0,334,361,68,247,334,279
5003,0,119,0,107,26,0,97
5004,0,0,0,157,273,221,334
5005,0,142,872,707,638,2215,352
5006,0,0,0,0,0,0,27
5007,0,117,516,32,586,835,169
5008,0,34,238,56,269,0,0
5009,0,0,144,711,1169,560,623
5010,8,0,0,0,0,0,0
5011,0,40,0,0,0,31,245
5012,0,0,104,35,40,142,325
5014,0,0,48,0,92,0,0
5016,0,113,146,79,0,173,0
5018,0,0,0,0,0,267,141
5020,0,50,0,319,527,492,498
5026,0,0,0,43,0,0,0
5028,0,0,222,0,0,0,20
5030,24,65,0,580,279,106,364
5032,206,661,421,575,804,2199,2272
5033,0,78,0,0,278,614,301
5035,0,63,0,0,0,0,0
5036,0,0,128,18,620,795,224
5037,0,0,7,0,0,251,139
5038,0,0,0,34,0,0,40
5039,0,0,0,14,0,0,0
5040,0,34,52,0,0,87,14
5041,114,579,824,1162,857,1038,1245
5044,0,118,0,1322,303,1023,192
5045,24,674,89,683,457,511,381
5046,0,404,754,1452,1754,1090,803
5047,13,278,664,274,390,1055,1235
5048,0,28,31,0,0,0,0
5049,0,0,33,392,0,73,77
5050,184,784,286,1611,814,300,1086
5051,696,371,140,513,431,2528,855
5052,0,67,70,297,172,217,532
5053,0,423,358,844,607,1469,1062
5054,141,0,0,0,112,255,61
5055,0,33,0,214,0,0,0
5056,0,430,424,507,442,732,491
5057,477,953,678,819,340,0,988
5058,20,559,384,288,540,113,409
5059,24,140,686,1943,414,883,2425
5060,0,867,238,294,0,630,414
5061,0,195,577,1038,199,478,753
5063,140,0,450,894,280,379,1213
5065,0,71,499,320,384,1682,573
5066,88,513,1103,1024,1480,959,1581
5067,0,69,0,863,392,809,128
5068,79,715,803,1202,754,1252,472
5069,35,1315,985,678,150,93,779
5071,15,65,982,348,350,362,1085
5072,0,0,167,119,21,182,240
5073,0,250,235,2303,947,1048,3022
5074,98,502,261,1011,1069,0,648
5075,0,448,960,1283,432,336,614
5076,0,57,194,999,386,345,476
5077,0,28,0,74,43,254,155
5078,0,0,42,106,194,548,488
5079,0,188,87,267,347,0,212
5080,0,0,283,193,0,34,278
5081,0,71,160,184,129,227,493
5082,145,621,1121,1151,320,583,919
5084,75,103,747,1008,1016,2090,770
5086,74,464,474,1429,95,405,311
5087,57,82,69,0,168,0,76
5088,0,47,54,23,0,393,82
5089,46,341,1100,793,563,348,290
5090,0,115,236,422,218,925,544
5091,0,885,286,231,0,588,544
5092,258,463,565,550,154,1096,708
5093,106,282,444,477,179,226,371
5094,0,300,654,800,341,2462,1793
5095,161,1208,696,912,154,283,470
5096,0,318,236,1161,845,425,548
5097,322,169,589,299,0,0,369
5098,493,354,101,1070,1099,515,1254
5099,45,1001,284,273,223,167,619
5100,136,69,143,804,801,1250,1016
5101,0,129,599,534,143,34,316
5102,23,462,404,498,0,0,206
5103,0,0,23,0,474,168,37
5104,312,933,502,1328,390,201,828
5105,0,143,77,672,195,778,668
5106,0,404,758,433,29,302,723
5107,81,168,129,283,37,103,212
5109,0,76,66,211,397,1429,407
5110,166,416,307,284,876,220,1317
5111,212,567,529,696,165,308,854
5113,65,202,445,1358,742,85,269
5114,0,173,267,441,0,740,185
5115,62,137,753,619,547,673,282
5116,0,155,388,1123,0,40,798
5117,19,22,174,506,42,154,123
5118,83,721,1319,755,233,0,963
5119,0,66,0,0,0,0,0
5120,368,262,207,350,473,138,607
5121,100,929,266,561,0,159,1524
5122,53,911,161,378,319,458,927
5123,468,1458,1440,1309,0,241,2368
5125,0,286,92,104,0,0,80
5126,0,0,504,387,87,0,131
5127,85,1069,567,1333,521,38,631
5129,504,144,18,455,93,835,18
5130,0,1124,868,878,558,258,287
5131,240,479,835,626,99,46,586
5132,32,332,104,681,610,410,1381
5133,0,541,426,552,368,775,977
5135,31,409,1058,2102,223,196,1455
5137,0,13,66,46,657,543,300
5138,0,8,22,0,0,305,17
5139,162,1259,608,942,1680,724,842
5140,0,376,416,561,549,974,322
5141,29,55,0,491,632,746,627
5142,0,0,0,0,0,0,176
5143,103,280,386,1275,185,312,631
5144,63,359,834,717,195,1183,935
5147,0,0,0,151,0,24,0
5148,704,1220,1968,453,524,285,764
5149,183,430,861,468,86,200,0
5150,293,1797,282,687,232,98,162
5151,0,567,1224,859,407,157,1020
5154,336,379,59,915,303,56,276
5155,262,1058,557,397,282,142,283
5156,0,63,0,0,0,0,18
5157,32,991,179,539,395,37,298
5158,17,312,718,856,261,2801,488
5159,252,812,391,321,150,129,158
5160,0,0,152,0,0,315,0
5161,114,662,1364,986,291,0,387
5162,66,430,313,225,161,243,343
5163,211,238,327,283,172,364,156
5164,427,1735,1119,1456,489,343,612
5165,262,346,652,1028,80,97,689
5166,1067,1448,1017,656,532,245,919
5167,136,159,270,407,483,185,141
5168,94,817,245,235,327,24,111
5170,712,1229,932,245,254,0,1539
5171,181,586,331,278,324,0,702
5172,551,538,278,520,456,65,198
5173,0,126,183,34,0,0,0
5174,45,346,519,346,271,510,59
5175,475,593,352,740,251,150,340
5176,37,503,1283,78,239,0,472
5177,0,383,247,693,291,218,332
5178,0,55,199,317,409,515,517
5179,198,778,1153,286,275,86,625
5180,0,250,272,898,621,324,120
5181,296,2286,1063,346,69,30,1207
5182,152,292,476,671,0,103,46
5183,0,481,147,637,0,0,116
5184,0,0,165,0,0,49,0
5186,213,756,286,198,952,76,212
5187,1080,508,229,644,203,639,490
5188,0,398,471,182,0,0,413
5190,0,0,0,67,0,0,0
5191,68,152,170,215,544,1101,934
5192,224,238,237,208,157,385,827
5193,0,0,0,0,0,0,23
5194,30,161,711,621,269,0,223
5195,220,118,140,235,118,0,265
5196,45,0,504,253,264,786,256
5197,0,30,84,21,0,0,0
5198,64,149,172,0,0,244,24
5199,50,391,699,360,343,147,127
5200,287,579,314,861,199,116,510
5201,0,36,0,110,81,697,82
5202,22,161,347,1362,212,468,591
5203,166,178,507,870,327,430,288
5204,127,613,50,130,79,0,166
5205,140,331,573,757,157,1365,637
5206,882,473,382,135,55,241,29
5207,150,526,485,422,694,1402,428
5208,213,649,1580,1298,395,692,794
5210,128,95,0,0,0,0,149
5212,45,152,191,865,237,209,165
5213,0,0,0,91,0,0,0
5214,0,0,0,35,49,56,57
5215,0,27,0,45,0,365,0
5216,0,191,1137,943,910,841,593
5219,49,137,298,380,624,385,192
5223,0,113,126,492,359,455,414
5224,0,0,117,274,67,1039,220
5225,0,76,69,333,129,201,38
5226,14,19,320,315,344,2225,549
5227,0,27,66,0,43,139,107
5228,0,75,0,0,0,0,124
5229,15,49,280,606,587,1835,139
5230,0,27,446,934,943,547,976
5231,0,211,83,995,101,1094,312
5232,63,129,792,423,1680,2473,791
5233,0,70,197,84,309,1145,243
5234,0,0,29,0,412,214,38
5235,0,0,76,210,368,238,0
5236,0,0,44,450,399,501,222
5237,47,152,223,390,679,154,1162
5238,12,303,188,755,249,1673,452
5239,155,648,324,839,1049,365,818
5240,13,67,117,215,52,169,256
5241,189,2300,1430,1079,520,549,2702
5242,0,0,20,806,0,443,212
5243,0,31,0,0,0,0,163
5244,0,0,0,601,246,858,1113
5245,0,157,164,225,271,180,38
5246,0,39,19,367,581,1037,75
5247,59,58,52,405,27,519,119
5248,0,226,256,482,144,884,927
5249,0,22,63,219,77,38,0
5250,0,0,35,157,60,506,93
5251,0,0,26,0,38,0,0
5252,34,151,511,296,47,132,122
6001,0,13,104,284,74,173,27
6004,58,387,330,997,555,1514,1061
6005,0,50,212,251,42,475,316
6006,0,38,158,657,118,38,20
6007,0,83,224,139,27,995,173
6008,29,56,162,292,185,76,172
6009,0,29,0,82,22,0,51
6010,27,84,63,71,0,0,0
6012,34,216,80,818,244,812,667
6014,72,58,177,198,0,0,93
6015,0,92,147,784,670,778,484
6016,0,243,103,461,544,1320,381
6017,0,119,83,27,26,326,101
6018,202,116,88,283,855,1006,113
6019,0,79,371,219,352,279,700
6020,21,151,144,345,131,431,124
6021,0,0,0,21,0,0,0
6022,0,110,37,132,134,244,145
6023,38,48,833,1023,1093,2234,1696
6024,0,0,0,226,31,99,0
6025,0,102,59,518,15,17,136
6026,57,300,544,1094,303,204,431
6027,134,151,214,750,546,580,351
6028,0,30,53,69,0,119,45
6029,0,39,455,266,229,313,371
6030,0,69,18,258,19,337,25
6031,0,47,159,35,0,311,79
6032,0,222,532,842,1369,1488,712
6033,18,75,43,18,0,126,83
6034,18,63,176,120,336,407,141
6035,37,27,209,408,136,150,0
6036,23,191,50,27,0,155,177
6037,0,0,64,0,0,0,0
6038,52,75,218,396,51,583,373
6039,0,161,347,1153,986,1335,504
6040,0,51,37,95,84,550,83
6041,27,72,95,573,14,55,146
6042,17,116,67,273,0,337,128
6043,0,44,101,116,24,49,181
6044,38,281,846,894,630,1314,954
6045,0,50,257,52,220,247,33
6046,0,18,165,0,382,51,96
6047,26,166,481,1073,547,640,373
6048,0,62,77,586,0,617,109
6049,0,24,0,0,27,0,0
6050,0,205,97,255,137,462,591
6051,0,45,39,228,71,194,94
6052,413,44,68,495,18,282,139
6053,7,28,6,579,321,71,139
6054,0,34,109,266,172,481,251
6055,0,66,486,177,18,403,205
6056,17,255,358,320,121,514,135
6057,0,123,388,520,10,0,437
6058,0,72,220,187,113,274,242
6059,13,15,186,508,100,433,230
6060,21,96,129,265,0,63,61
6061,6,433,108,560,195,220,412
6062,14,341,100,649,518,842,283
6063,0,65,187,283,268,257,265
6064,73,201,940,1088,553,577,751
6065,0,18,92,355,285,48,116
6066,14,284,398,581,254,136,174
6067,7,140,308,249,483,135,438
6068,0,143,116,330,218,370,474
6069,0,115,240,242,155,126,93
6070,0,0,0,66,0,0,0
6071,13,710,848,1242,316,535,913
6072,0,133,294,246,165,0,195
6073,192,26,0,0,0,0,0
6074,620,635,361,1001,249,523,473
6075,128,749,879,753,204,150,555
6076,42,10,13,0,0,0,0
6079,416,595,535,999,171,0,383
6080,0,224,0,0,0,0,0
6081,15,452,375,868,249,87,525
6082,17,198,283,399,218,0,321
6083,134,617,399,214,0,0,501
6085,0,150,0,0,0,0,149
6090,86,234,815,898,292,410,622
6091,65,255,280,331,33,0,216
6092,186,327,262,776,494,134,174
6094,12,94,246,150,66,12,182
6095,0,0,0,0,0,27,170
6097,0,312,325,604,361,706,153
6098,44,145,340,600,506,552,567
6100,0,597,663,645,168,66,390
6101,121,799,364,888,157,185,734
6102,0,156,314,225,306,80,186
6103,30,0,0,10,0,0,0
6104,56,84,75,240,0,0,69
6105,14,310,392,479,98,257,47
6106,83,437,225,624,33,0,65
6107,131,650,645,949,87,279,449
6109,237,685,567,644,244,274,671
6112,29,525,249,30,205,202,126
6113,107,130,372,1201,16,119,161
6115,255,19,23,74,0,0,195
6116,0,24,33,57,0,0,7
6117,68,174,268,453,0,0,197
6118,59,662,390,446,58,0,252
6119,74,102,16,66,0,0,28
6120,0,36,0,105,0,20,216
6121,168,381,172,88,0,0,74
6122,20,0,0,0,0,0,0
6123,0,67,154,0,0,0,44
6124,0,116,0,0,0,0,21
6125,96,0,0,0,0,0,0
6127,0,0,6,0,0,0,0
6129,0,228,37,31,0,23,51
6130,54,0,552,0,0,0,46
6131,0,0,0,0,0,0,49
6132,87,98,188,8,192,145,0
6133,202,56,119,221,80,250,93
6134,208,293,71,0,0,0,0
6135,65,19,67,216,0,42,169
6137,0,131,577,1012,514,489,284
6138,28,0,0,0,0,0,0
6139,11,36,48,201,0,329,16
6140,206,317,701,136,0,0,151
6141,283,15,100,292,246,614,408
6142,388,222,169,344,53,0,813
6143,0,19,208,30,0,24,0
6144,22,68,160,35,45,0,70
6145,15,20,26,0,0,0,0
6146,397,1493,1741,2090,489,675,482
6147,0,0,0,45,23,0,0
6150,49,597,436,169,108,22,136
6151,0,57,0,0,0,0,0
6153,0,0,43,42,0,0,539
6154,178,290,185,386,808,642,284
6155,0,58,81,127,0,0,15
6156,0,0,0,0,0,0,38
6158,13,92,167,373,25,160,95
6159,90,30,236,261,76,262,302
6160,126,283,231,260,31,0,233
6161,125,0,91,176,76,151,125
6162,109,25,38,660,54,0,63
6163,0,0,0,95,0,0,0
6164,19,107,16,346,241,219,746
6165,111,54,45,77,0,0,104
6166,297,64,667,132,463,666,283
6167,0,23,0,12,71,23,10
6168,35,12,19,1258,314,844,339
6169,110,162,0,0,0,0,0
6170,14,193,721,1676,457,1324,921
6171,369,342,190,461,153,220,325
6172,6,172,286,175,0,77,140
6173,50,318,332,431,116,131,240
6174,85,116,378,93,20,0,186
6175,195,327,171,13,0,9,27
6176,90,244,310,104,27,0,125
6177,15,120,47,54,27,145,71
6178,0,0,8,0,0,0,0
6179,0,61,136,257,0,0,32
6180,0,0,0,29,0,317,53
6181,0,20,0,24,78,0,49
6182,67,180,319,857,346,34,214
6183,15,4,21,378,0,209,25
6184,25,0,0,19,0,0,0
6185,0,29,8,0,0,19,19
6186,0,0,0,109,56,140,8
6187,8,12,8,548,17,0,0
6188,57,79,98,434,4,19,55
6189,0,4,0,36,93,0,25
6190,0,4,0,0,0,0,0
6191,0,0,0,0,459,0,0
6192,0,0,37,32,0,0,0
6193,127,415,1186,604,52,71,1045
6194,20,146,312,595,413,396,568
6195,0,49,14,29,0,201,90
6196,0,225,550,1207,195,854,372
6197,0,18,20,0,0,30,0
6198,68,479,546,663,385,1333,1137
6199,378,730,608,1010,1018,735,863
6200,0,0,14,0,0,0,0
6201,31,521,551,15,0,0,29
6202,5,88,97,11,0,0,52
6203,311,197,86,0,0,0,54
6204,416,618,19,0,0,11,227
6205,177,65,5,415,40,0,158
6206,90,215,340,719,27,0,27
6207,11,401,119,247,0,0,493
6208,38,18,0,0,0,0,116
6209,0,56,0,0,0,0,0
6210,0,31,79,0,0,0,0
6213,40,787,321,191,0,137,321
6214,0,17,12,16,0,0,0
6215,0,33,0,251,0,0,0
6216,77,515,49,236,0,0,43
6217,110,716,605,445,45,197,372
6218,148,530,714,377,70,281,344
6219,23,1001,983,1009,277,434,891
6222,46,157,1135,1285,435,901,779
6223,0,73,106,204,220,1536,614
6224,0,60,0,0,0,0,65
6225,62,106,363,964,689,1568,694
6226,417,863,726,2102,463,357,980
6227,0,12,283,0,0,0,13
6228,0,0,334,327,136,401,427
6229,0,49,63,43,0,0,43
6230,116,275,384,796,56,47,229
6231,10,26,49,164,0,0,41
6232,0,16,0,0,0,0,26
6233,82,421,818,811,26,108,955
6235,230,1538,1064,1812,175,199,2131
6236,237,735,879,941,163,55,321
6240,0,0,74,0,0,0,0
6244,0,10,231,150,179,101,335
6247,0,0,40,0,0,0,0
6248,0,95,148,290,47,229,210
6249,40,334,34,484,571,95,637
6250,0,0,31,50,0,326,32
6252,61,265,203,952,259,0,490
6253,0,194,168,121,0,47,81
6254,0,22,10,31,19,41,46
6255,10,19,0,0,0,278,37
6256,0,0,83,263,172,407,188
6257,0,231,351,616,394,889,327
6259,20,77,89,138,169,275,479
6260,159,254,48,212,211,196,132
6261,0,0,27,43,0,0,20
6262,10,0,100,93,14,95,145
6263,0,235,132,72,113,308,186
6265,0,33,20,257,61,85,39
6266,251,221,190,411,0,121,190
6267,13,161,174,1004,196,509,683
6268,19,372,788,1204,360,423,593
6269,34,767,620,1102,320,571,781
6270,46,292,670,343,20,95,178
6271,45,457,101,433,208,241,234
6272,0,65,95,0,0,0,169
6273,117,96,241,92,0,0,0
6275,124,1204,950,356,304,46,241
6276,91,258,57,0,0,13,53
6278,0,42,130,0,0,0,12
6279,0,66,0,0,141,0,108
6280,0,63,0,93,0,0,0
6281,43,0,0,0,0,0,0
6282,113,63,13,0,0,0,43
6283,43,143,0,17,0,0,25
6284,0,318,64,0,0,0,70
6285,178,259,172,405,215,0,347
6286,319,463,414,125,0,0,520
6288,17,538,274,251,0,166,158
6289,151,170,717,741,155,53,331
6290,0,272,369,696,414,913,468
6291,0,49,0,134,0,0,12
6292,13,529,335,447,0,47,226
6294,0,0,153,13,0,0,0
6296,56,175,409,882,256,0,155
6297,0,183,92,563,0,0,158
6299,146,385,157,78,240,0,653
6300,39,622,70,114,0,119,103
6301,0,390,550,245,33,0,243
6302,0,0,34,74,348,0,54
6303,0,19,65,354,68,193,451
6304,0,0,0,0,0,0,11
6306,0,0,0,0,7,27,19
6307,0,132,74,152,358,456,207
6308,34,325,590,893,706,362,916
6309,88,240,127,795,20,15,275
6310,0,199,155,129,0,0,253
6311,0,26,11,0,0,0,115
6312,89,123,81,91,0,20,124
6313,0,24,29,0,0,0,0
6314,0,29,0,0,0,0,62
6315,70,90,43,108,0,0,210
6316,99,150,230,125,0,49,113
6317,0,0,31,376,0,107,20
6318,0,0,0,29,0,0,0
6319,0,0,0,62,0,0,0
6320,67,143,55,404,52,647,430
6322,0,26,77,78,52,0,97
6323,0,0,38,0,0,0,0
6324,0,40,0,0,0,176,0
6325,33,799,735,30,0,0,455
6326,172,496,515,51,74,0,190
6327,24,0,0,0,0,0,0
6328,0,17,0,0,0,0,0
6329,0,0,0,0,0,0,55
6330,0,29,38,526,0,28,0
6331,22,17,49,153,16,0,99
6332,17,106,46,78,190,34,217
6333,33,63,40,78,83,135,69
6334,0,36,23,426,112,59,122
6335,0,27,0,140,46,133,78
6336,59,778,458,430,203,109,411
6337,29,632,169,543,430,116,649
6338,30,258,220,442,509,723,353
6339,29,30,0,366,53,114,82
6340,0,168,432,751,124,859,444
6341,29,727,759,278,426,334,942
6342,81,640,393,956,441,65,552
6343,172,478,568,270,10,96,349
6344,85,601,177,170,89,587,985
6345,141,542,483,394,15,183,684
6346,8,184,0,0,161,0,30
6347,18,177,263,231,37,89,391
6348,0,53,134,63,727,69,134
6349,18,119,176,103,70,0,88
6350,15,275,687,412,303,106,209
6351,30,27,32,97,82,179,45
6352,14,0,0,20,0,32,0
6353,0,38,0,497,455,32,170
6354,16,14,103,674,148,92,193
6355,0,43,27,408,24,32,207
6356,27,16,0,0,56,158,0
6357,0,0,0,151,78,377,258
6358,0,0,140,196,121,0,15
6359,0,29,243,1005,318,271,505
6360,0,599,727,1902,704,1427,1367
6361,25,25,269,470,49,218,56
6362,0,234,288,114,318,119,377
6363,0,106,488,187,746,168,290
6364,39,120,178,385,359,468,111
6366,92,261,383,1285,1022,799,1058
7002,23,305,131,1296,279,3408,704
7004,0,85,196,240,117,723,13
7005,0,25,55,307,21,569,318
7006,0,126,152,544,73,1461,570
7008,0,51,0,0,0,0,0
7010,30,35,103,59,0,0,0
7011,151,282,152,269,55,86,104
7012,0,0,72,81,131,261,88
7013,102,0,0,0,0,0,0
7014,0,0,28,188,292,110,165
7021,62,56,77,132,0,97,219
7022,0,129,209,585,72,291,347
7024,0,254,190,686,425,247,465
7025,6,155,137,373,340,309,480
7026,0,472,52,593,658,1316,274
7027,0,0,45,27,0,0,0
7028,12,27,118,427,326,824,87
7029,30,470,334,759,35,573,292
7030,0,45,13,0,0,0,20
7031,41,0,30,0,0,0,0
7034,0,61,0,138,0,348,285
7035,101,55,388,534,402,425,96
7036,0,151,332,223,104,0,113
7037,68,12,177,39,34,82,139
7038,0,76,0,173,0,0,0
7039,150,339,555,163,16,36,95
7042,63,0,0,0,0,0,40
7043,96,94,0,0,0,0,0
7044,355,159,0,30,0,0,405
7047,0,0,0,36,0,0,65
7048,311,75,0,44,0,0,353
7050,191,70,30,12,0,0,329
7051,420,247,70,150,45,0,284
7052,0,14,0,0,0,0,0
7054,69,212,194,213,154,111,203
7055,177,63,43,355,90,29,22
7056,11,16,116,142,40,152,75
7057,113,207,345,140,207,46,225
7059,52,198,445,631,501,692,98
7060,0,0,133,330,0,375,19
7061,0,0,0,0,20,30,0
7062,0,0,22,26,0,1521,205
7064,0,0,0,51,0,0,0
7065,0,0,16,0,139,0,16
7066,67,0,96,241,115,627,391
7068,0,23,21,82,137,67,108
7069,0,0,0,0,0,0,25
7074,0,0,30,0,0,0,0
7075,0,0,0,0,0,374,0
7076,0,22,0,0,0,0,0
7078,0,81,140,113,164,512,595
7080,0,0,0,27,0,86,0
7081,18,334,37,338,93,1025,223
7082,16,178,270,603,609,1418,1244
7085,0,241,319,257,122,414,202
7086,138,310,317,689,875,73,384
7087,78,642,198,1064,147,0,1282
7088,0,16,0,0,0,0,0
7093,0,0,0,295,0,0,0
7094,9,261,213,708,188,117,198
7095,0,8,13,0,0,0,0
7097,0,234,159,285,146,327,148
7098,0,456,154,349,170,271,259
7099,40,68,131,330,27,54,178
